ego_speed,front_vehicle_speed,throttle,distance,gap,counter
<<<<<<< HEAD
ego_speed,front_vehicle_speed,throttle,distance,gap,counter
20.0,21.827422517719548,0.29889600559266966,96.78200674664265,2.8390761419514225,262.832087531
20.0,21.828410895314104,0.5315990023368953,96.90383491449063,2.8451675198869317,262.8364832
20.019926400372846,21.829395747316173,0.3146292958548037,97.02572897417815,2.846433617708475,262.840606686
20.055366333861972,21.830377092296008,0.11983589124594654,97.14636026397443,2.843884387766688,262.844431767
20.076341620252293,21.831354948692017,0.2890688624088504,97.26469431453665,2.8447178117670022,262.849134084
20.08433067966869,21.832329334811956,0.32303961058904285,97.3816952030993,2.848616162253383,262.860497529
20.103601937162612,21.833300268834098,0.3091090767020691,97.49822844677556,2.8497649214817313,262.864756117
20.125137911201882,21.8342677688084,0.2764948948505119,97.61354166888702,2.850304980223587,262.869801932
20.14574518298202,21.835231852657643,0.28418846888759514,97.72748365939412,2.8509994379361334,262.874612203
20.164178175972054,21.836192538178583,0.3110818701656791,97.84011610403923,2.8521506820227485,262.878740521
20.183124073897893,21.83714984304306,0.3011886226095808,97.95158372818639,2.853118776740086,262.883073632
20.20386286524227,21.83810378479912,0.2771344890396772,98.06185211279603,2.853594949013491,262.887570887
20.223942106749575,21.83905438087211,0.28566352799792044,98.17080150743323,2.854163227571094,262.891398216
20.24241773935222,21.84000164856577,0.282677522546094,98.27847565904142,2.8550519715235003,262.89822403
20.26146197455208,21.840945605063308,0.28526865757863745,98.38498125298895,2.855745148205137,262.903071413
20.28030714272182,21.841886267428457,0.28797234428576135,98.49028016168972,2.8564251924811908,262.907443759
20.29932505322706,21.842823652606544,0.28755635743095115,98.59438543667022,2.857003840165235,262.91123946
20.31852320951278,21.84375777742552,0.2789185189983384,98.69728534329545,2.857478989870107,262.915649479
20.33769363334151,21.84468865859699,0.2781857994240046,98.79896764782302,2.8578999978568618,262.919672165
20.356288201274733,21.845616312717244,0.26592558514698555,98.89943398284004,2.8583979144515865,262.93159304
20.374833921236334,21.846540756268254,0.2646933590124807,98.99872252360285,2.8588487651691823,262.944332908
20.392562293579466,21.84746200561868,0.2840987098203661,99.09683631260498,2.8594359523035475,262.948810896
20.41020851751363,21.848380077024856,0.28196827049325596,99.19382962674092,2.8599867827389724,262.953410973
20.429148431501655,21.849294986631765,0.26751427523459875,99.2897077307083,2.8601742772683094,262.957355998
20.447946316201207,21.850206750474,0.2624109748208662,99.38438416771692,2.8603364170284378,262.964958553
20.465780601216846,21.851115384476742,0.2714468218098874,99.47786819666851,2.860668843673105,262.969923294
20.483274666204903,21.852020904456683,0.2736881238500959,99.5702238488858,2.861026343142796,262.974626464
20.50137112099223,21.852923326122973,0.26601888014335545,99.66147359810259,2.861186449008308,262.978725888
20.51961699591557,21.853822665078148,0.2615447847857959,99.7515770784446,2.8612550113775965,262.983089484
20.537351587925126,21.854718936819044,0.2645593943201279,99.8405241230555,2.861388166667969,262.987412738
20.554787906910846,21.855612156737703,0.2661060361392553,99.92834861298184,2.8615370254286088,262.991273378
20.57242519986552,21.85650234012228,0.259838230040386,100.01507022963688,2.861584528781652,262.998308419
20.590165602274805,21.857389502157922,0.2572271810718124,100.10067537232055,2.861553381869026,263.003303349
20.607488150944164,21.858273657927647,0.25906952649338816,100.18515696564612,2.8615663430296188,263.00760744
20.624636629682286,21.859154822413224,0.2585130054773941,100.26854266611167,2.8615671785989862,263.011511808
20.64190793144851,21.86003301049603,0.2570911851502533,100.3508438789604,2.861486547831129,263.023427563
20.65914213181367,21.86090823695789,0.25190446241268766,100.43205221756352,2.861361882336708,263.027226892
20.67628154415702,21.86178051648194,0.25104266742556175,100.51216995790651,2.861206964248076,263.031505544
20.693075174984532,21.862649863653452,0.25268682370826606,100.59120322272815,2.8610811232260946,263.035950596
20.709811352812903,21.863516292960664,0.2555743321045603,100.6691748686394,2.8609177100589624,263.048083235
20.72665714106012,21.86437981879559,0.24836321742090092,100.74608853131599,2.8606778110858446,263.052935909
20.743695429867092,21.86524045545484,0.24256518731692875,100.82193670983179,2.8603418333304385,263.057250326
20.760252977695153,21.866098217140408,0.24391539078338817,100.89670637820439,2.8600669982156584,263.061141079
20.77642399018295,21.86695311796048,0.24688056506357528,100.97042939416747,2.8598326381196726,263.065445388
20.792685016235176,21.867805171930218,0.24325596239386002,101.04313133601931,2.859528497847884,263.069544472
20.80914372057275,21.86865439297252,0.25108639465768223,101.11480601306562,2.8591293067080557,263.08163199
20.82536078473234,21.869500794918803,0.2425177397405307,101.18544005789227,2.858737153709166,263.086751221
20.84209987770952,21.870344391509764,0.2311916458509627,101.25504939190466,2.858174760150713,263.091020364
20.858267727025552,21.87118519639613,0.23327181013774614,101.32359902615792,2.8576954991006325,263.094993353
20.873680503415617,21.872023223139404,0.24168323497107108,101.39112685744931,2.8573437303730618,263.099552075
20.8892319574248,21.872858485212603,0.24940348090358236,101.45768303876434,2.8569137225426076,263.110747334
20.90534417308954,21.873690996000995,0.22585419970614629,101.5232581406168,2.8563071561666344,263.114705502
20.921971071816444,21.874520768802817,0.22562076354900842,101.58781459547754,2.855533386095975,263.119659933
20.93702801846352,21.87534781682999,0.23454950700231858,101.65131790860994,2.8550745746488335,263.12382957
20.95206940270012,21.876172153208827,0.22980484409118052,101.71387256183425,2.854574751038731,263.127571072
20.967706036500275,21.876993790980748,0.2205263418300895,101.77547941186822,2.8538926406844762,263.131417392
20.983026359439688,21.87781274310296,0.22528603912642306,101.83609859550018,2.853237637283118,263.135685561
